Brand,Model,Link,Price,Price Retail,Discount,Saved Amount,CPU,GPU,RAM,Storage,Screen,detail,
LENOVO,Laptop Lenovo LOQ 15AHP10 - 83JG0047VN (Ryzen 7 250/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-loq-15ahp10-83jg0047vn--s250807885?selectPromotionId=1505998,29.990.000 ₫,31.290.000 ₫,-4%,1.300.000 ₫,R7 250,RTX 5050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: AMD Ryzen™ 7 250 (3.3 GHz - 5.1 GHz/ 16MB/ 8 nhân, 16 luồng)
NPU: AMD XDNA™ 16 TOPS
VGA: GeForce RTX™ 5050 8GB GDDR6, 440 AI TOPs
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 300 nits, G-Sync, 100% sRGB
Khác: 24-Zone RGB Gaming Keyboard with Copilot Key, HD webcam, Nahimic Gaming Audio, AMD AI
OS: Windows 11 Home SL",
DELL,Laptop Dell 15 DC15250 - 71073959 (i7-1355U/ 16GB/ 512GB/ Windows 11 + Office + Microsoft),https://phongvu.vn/laptop-dell-15-dc15250-71073959--s250807880,20.990.000 ₫,21.990.000 ₫,-5%,1.000.000 ₫,i7-1355U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ WVA/ 120Hz","CPU: Intel® Core™ i7-1355U (1.7 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 1 x 16GB 2666MHz DDR4 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) WVA, 120Hz, Màn hình chống lóa, 250 nits,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic",
DELL,Laptop Dell 15 DC15250 - 71071928 (i5-1334U/ 16GB/ 512GB/ Windows 11 + Office),https://phongvu.vn/laptop-dell-15-dc15250-71071928--s250807870,17.490.000 ₫,18.490.000 ₫,-5%,1.000.000 ₫,i5-1334U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ WVA/ 120Hz","CPU: Intel® Core™ i5-1334U (1.3 GHz - 4.6 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 1 x 16GB 2666MHz DDR4 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) WVA, 120Hz, Màn hình chống lóa, 250 nits,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2024",
DELL,Laptop Dell Inspiron 15 3530 - P16WD21 (i5-1334U/ 16GB/ 512GB/ Windows 11 + Office),https://phongvu.vn/laptop-dell-inspiron-15-3530-p16wd21--s250807865,17.490.000 ₫,18.990.000 ₫,-8%,1.500.000 ₫,i5-1334U,Intel Graphics,16GB,512GB,"15.6"" Full HD/ 120Hz","CPU: Intel® Core™ i5-1334U (1.3 GHz - 4.6 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 2666MHz DDR4 (Hỗ trợ tối đa 16GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) 120Hz, Màn hình chống lóa,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2024",
LENOVO,Laptop Lenovo ThinkPad T14 Gen 6 - 21QC0007VA (Ultra 7-255H/ 32GB/ 512GB/ Free DOS),https://phongvu.vn/laptop-lenovo-thinkpad-t14-gen-6-21qc0007va--s250806252,37.490.000 ₫,38.990.000 ₫,-4%,1.500.000 ₫,U7-255H,Intel Graphics,32GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 7-255H (2.0 GHz - 5.1 GHz/ 24MB/ 16 nhân, 16 luồng)
NPU: Intel® AI Boost 13 TOPS
RAM: 2 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 400 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Dolby Audio, Non-EVO
OS: Free DOS",
LENOVO,Laptop Lenovo Thinkpad X9-15 Gen 1 - 21Q60055VN (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-15-gen-1-21q60055vn--s250804778,54.390.000 ₫,56.890.000 ₫,-4%,2.500.000 ₫,U7-258V,Intel Graphics,32GB,1TB,"15.3"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 7-258V (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 47 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 15.3"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3
Khác: Bàn phím thường, UHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo ThinkPad T14s Gen 6 - 21R10008VN (Ultra 7-255H/ 32GB/ 1TB/ Windows® 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-t14s-gen-6-21r10008vn--s250804779?selectPromotionId=1438123,47.490.000 ₫,51.290.000 ₫,-7%,3.800.000 ₫,U7-255H,Intel Graphics,32GB,1TB,"14"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 7-255H (2.0 GHz - 5.1 GHz/ 24MB/ 16 nhân, 16 luồng)
NPU: Intel® AI Boost 13 TOPS
RAM: 32GB Onboard 7467MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3
Khác: Bàn phím thường, HD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006HVN (Ultra 5-228V/ 32GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-14-gen-1-21qa006hvn--s250804769,48.490.000 ₫,50.790.000 ₫,-5%,2.300.000 ₫,U5-228V,Intel Graphics,32GB,1TB,"14"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 5-228V (2.1 GHz - 4.5 GHz/ 8MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 40 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 2.8K (2880 x 1800) OLED, 120Hz, 500 nits, 100% DCI-P3
Khác: Bàn phím thường, UHD webcam, Dolby Atmos, Copilot+ PC
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NX003DVN (Ultra 5-225H/ 16GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x1-carbon-gen-13-21nx003dvn--s250804770,47.990.000 ₫,49.790.000 ₫,-4%,1.800.000 ₫,U5-225H,Intel Graphics,16GB,1TB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 5-225H (2.5 GHz - 4.9 GHz/ 18MB/ 14 nhân, 14 luồng)
NPU: Intel® AI Boost 13 TOPS
RAM: 16GB Onboard 8400MHz LPDDR5x (Hỗ trợ tối đa 16GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 500 nits, 100% sRGB
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006GVN (Ultra 5-228V/ 32GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-14-gen-1-21qa006gvn--s250804771,44.690.000 ₫,46.790.000 ₫,-4%,2.100.000 ₫,U5-228V,Intel Graphics,32GB,1TB,"14"" WUXGA/ OLED/ 60Hz","CPU: Intel® Core™ Ultra 5-228V (2.1 GHz - 4.5 GHz/ 8MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 40 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) OLED, 60Hz, Màn hình chống lóa, 400 nits, 100% DCI-P3
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Copilot+ PC
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo ThinkBook 16 Gen 8 - 21SK0073VN (Ultra 7-255H/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-lenovo-thinkbook-16-gen-8-21sk0073vn--s250804772?selectPromotionId=1506175,26.990.000 ₫,29.990.000 ₫,-10%,3.000.000 ₫,U7-255H,Intel Graphics,16GB,1TB,"16"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 7-255H (2.0 GHz - 5.1 GHz/ 24MB/ 16 nhân, 16 luồng)
NPU: Intel® AI Boost 13 TOPS
RAM: 2 x 8GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 16"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Dolby Audio, Intel AI
OS: Windows 11 Home",
LENOVO,Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006EVN (Ultra 5-226V/ 16GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-14-gen-1-21qa006evn--s250804773,42.690.000 ₫,44.690.000 ₫,-4%,2.000.000 ₫,U5-226V,Intel Graphics,16GB,1TB,"14"" WUXGA/ OLED/ 60Hz","CPU: Intel® Core™ Ultra 5-226V (2.1 GHz - 4.5 GHz/ 8MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 40 TOPS
RAM: 16GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 16GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) OLED, 60Hz, Màn hình chống lóa, 400 nits, 100% DCI-P3
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Copilot+ PC
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo Thinkpad X9-15 Gen 1 - 21Q60054VN (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-15-gen-1-21q60054vn--s250804774,53.090.000 ₫,55.590.000 ₫,-5%,2.500.000 ₫,U7-258V,Intel Graphics,32GB,1TB,"15.3"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 7-258V (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 47 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 15.3"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3
Khác: Bàn phím thường, UHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Pro",
ASUS,Laptop Asus ROG Zephyrus G14 GA403WP-QS045WS (Ryzen AI 9 HX 370/ GeForce RTX™ 5070/ 32GB/ 1TB/ Windows 11 + Office + Microsoft),https://phongvu.vn/laptop-asus-rog-zephyrus-g14-ga403wp-qs045ws--s250803789?selectPromotionId=1360599,56.490.000 ₫,61.990.000 ₫,-9%,5.500.000 ₫,R9 HX 370,RTX 5070,32GB,1TB,"14"" 3K/ OLED/ 120Hz","CPU: AMD Ryzen™ AI 9 HX 370 (5.1 GHz/ 24MB/ 12 nhân, 24 luồng)
NPU: AMD XDNA™ lên đến 50TOPs
VGA: GeForce RTX™ 5070 8GB GDDR7, 798 AI TOPs
RAM: 32GB Onboard 7500MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 3K (2880 x 1800) OLED, 120Hz, Màn hình gương, 500 nits, Adaptive Sync, 100% DCI-P3
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Dolby Atmos, AMD AI
OS: Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive",
ASUS,Laptop Asus TUF Gaming A15 FA506NCG-HN184W (Ryzen 7 7445HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-asus-tuf-gaming-a15-fa506ncg-hn184w--s250803790?selectPromotionId=1360532,20.490.000 ₫,22.490.000 ₫,-9%,2.000.000 ₫,R7 7445HS,RTX 3050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: AMD Ryzen™ 7 7445HS (3.55 GHz - 4.7 GHz/ 16MB/ 6 nhân, 12 luồng)
VGA: GeForce RTX™ 3050 4GB GDDR6
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 250 nits, Adaptive Sync,
Khác: Bàn phím Chiclet, HD webcam, Hi-Res Audio, Non-EVO
OS: Windows 11 Home",
ASUS,Laptop Asus ROG Strix G16 G615LR-S5289W (Ultra 7-255HX/ GeForce RTX™ 5070Ti/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-asus-rog-strix-g16-g615lr-s5289w--s250803791?selectPromotionId=1356093,53.990.000 ₫,57.990.000 ₫,-7%,4.000.000 ₫,U7-255HX,RTX 5070Ti,16GB,1TB,"16"" WQXGA/ IPS/ 240Hz","CPU: Intel® Core™ Ultra 7-255HX
NPU: Intel® AI Boost 13 TOPS
VGA: GeForce RTX™ 5070Ti 12GB GDDR7
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 16"" WQXGA (2560 x 1600) IPS, 240Hz
OS: Windows 11 Home
Ưu đãi tặng ngay code game hấp dẫn từ Intel",
DELL,Laptop Dell DC15255 - DC5R5802W1 (Ryzen 5 7530U/ 16GB/ 512GB/ Windows 11 + Office),https://phongvu.vn/laptop-dell-15-dc15255-dc5r5802w1--s250803243,15.990.000 ₫,16.390.000 ₫,-2%,400.000 ₫,R5 7530U,AMD Radeon,16GB,512GB,"15.6"" Full HD/ IPS/ 120Hz","CPU: AMD Ryzen™ 5 7530U (2.0 GHz - 4.5 GHz/ 16MB/ 6 nhân, 12 luồng)
RAM: 1 x 16GB 3200MHz DDR4 (Hỗ trợ tối đa 16GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 120Hz, Màn hình chống lóa, 250 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Non-EVO
OS: Windows 11 Home SL + Office Home & Student 2024",
ASUS,Laptop Asus ROG Zephyrus G14 GA403WW-QS136WS (Ryzen AI 9 HX 370/ GeForce RTX™ 5080/ 64GB/ 2TB/ Windows 11 + Office + Microsoft),https://phongvu.vn/laptop-asus-rog-zephyrus-g14-ga403ww-qs136ws--s250803214?selectPromotionId=1343435,84.290.000 ₫,89.490.000 ₫,-6%,5.200.000 ₫,R9 HX 370,RTX 5080,64GB,2TB,"14"" 3K/ OLED/ 120Hz","CPU: AMD Ryzen™ AI 9 HX 370 (5.1 GHz/ 24MB/ 12 nhân, 24 luồng)
NPU: AMD XDNA™ lên đến 50TOPs
VGA: GeForce RTX™ 5080 16GB GDDR7, 1334 AI TOPS
RAM: 64GB Onboard 8000MHz LPDDR5x (Không nâng cấp được)
Ổ cứng: 2TB SSD M.2 NVMe
Màn hình: 14"" 3K (2880 x 1800) OLED, 120Hz, Màn hình gương, 500 nits, Adaptive Sync, 100% DCI-P3
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Dolby Atmos, AMD AI
OS: Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive",
LENOVO,Laptop Lenovo ThinkPad X9-15 Gen 1 - 21Q60051VN (Ultra 5-228V/ 32GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-15-gen-1-21q60051vn--s250803212,46.990.000 ₫,49.290.000 ₫,-5%,2.300.000 ₫,U5-228V,Intel Graphics,32GB,1TB,"15.3"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 5-228V (2.1 GHz - 4.5 GHz/ 8MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 40 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 15.3"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3
Khác: Bàn phím thường, UHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Pro",
LENOVO,Laptop Lenovo ThinkPad X9-15 Gen 1 - 21Q6004YVN (Ultra 5-226V/ 16GB/ 1TB/ Windows 11 Pro),https://phongvu.vn/laptop-lenovo-thinkpad-x9-15-gen-1-21q6004yvn--s250803209,45.190.000 ₫,47.290.000 ₫,-4%,2.100.000 ₫,U5-226V,Intel Graphics,16GB,1TB,"15.3"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 5-226V (2.1 GHz - 4.5 GHz/ 8MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 40 TOPS
RAM: 16GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 16GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 15.3"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình chống lóa, 500 nits, 100% DCI-P3
Khác: Bàn phím thường, UHD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Pro",
ASUS,Laptop Asus Vivobook S16 S5606CA-RI171WS (Ultra 7-255H/ 16GB/ 512GB/ Windows 11 + Office + Microsoft),https://phongvu.vn/laptop-asus-vivobook-s16-s5606ca-ri171ws--s250803191?selectPromotionId=1438127,27.590.000 ₫,31.390.000 ₫,-12%,3.800.000 ₫,U7-255H,Intel Graphics,16GB,512GB,"16"" 3K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 7-255H (2.0 GHz - 5.1 GHz/ 24MB/ 16 nhân, 16 luồng)
NPU: Intel® AI Boost 13 TOPS
RAM: 16GB Onboard LPDDR5 (Hỗ trợ tối đa 16GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" 3K (2880 x 1800) OLED, 120Hz, Màn hình gương, 400 nits, 100% DCI-P3
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Smart Amp Technology, Intel AI
OS: Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive",
ASUS,Laptop Asus Vivobook Go 15 E1504FA-BQ1150W (Ryzen 5 7520U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-asus-vivobook-go-15-e1504fa-bq1150w--s250803182?selectPromotionId=1438075,12.890.000 ₫,14.990.000 ₫,-14%,2.100.000 ₫,R5 7520U,AMD Radeon,16GB,512GB,"15.6"" Full HD/ IPS/ 60Hz","CPU: AMD Ryzen™ 5 7520U (2.8 GHz - 4.3 GHz/ 4MB/ 4 nhân, 8 luồng)
RAM: 16GB Onboard LPDDR5 (Hỗ trợ tối đa 16GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 60Hz, Màn hình chống lóa, 250 nits, 45% NTSC
Khác: Bàn phím Chiclet, HD webcam, SonicMaster, Non-EVO
OS: Windows 11 Home",
ASUS,Laptop Asus Vivobook S14 S3407VA-LY053W (i7-13620H/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-asus-vivobook-s14-s3407va-ly053w--s250803176?selectPromotionId=1499565,20.490.000 ₫,23.990.000 ₫,-15%,3.500.000 ₫,i7-13620H,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
RAM: 16GB (8GB + 8GB Onboard) DDR5
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình gương, 300 nits, 45% NTSC
Khác: Bàn phím Chiclet với phím Copilot, FHD webcam, Non-EVO
OS: Windows 11 Home",
ASUS,Laptop Asus Vivobook S14 S3407VA-LY146W (Core 5 210H/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-asus-vivobook-s14-s3407va-ly146w--s250803169?selectPromotionId=1499592,19.190.000 ₫,20.990.000 ₫,-9%,1.800.000 ₫,Core 5 210H,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ 5 210H (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 12 luồng)
RAM: 16GB (8GB + 8GB Onboard) DDR5 (Hỗ trợ tối đa 16GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, SonicMaster, Non-EVO
OS: Windows 11 Home",
ACER,Laptop Acer Nitro V 15 ProPanel ANV15-41-R7CR (Ryzen 5 7535HS/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-nitro-v-15-propanel-anv15-41-r7cr--s250803168?selectPromotionId=1499588,23.990.000 ₫,24.990.000 ₫,-4%,1.000.000 ₫,R5 7535HS,RTX 4050,16GB,512GB,"15.6"" Full HD/ IPS/ 180Hz","CPU: AMD Ryzen™ 5 7535HS (3.3 GHz - 4.55 GHz/ 16MB/ 6 nhân, 12 luồng)
VGA: GeForce RTX™ 4050 6GB GDDR6, 194 AI TOPs
RAM: 1 x 16GB 4800MHz DDR5 (Hỗ trợ tối đa 96GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 180Hz, 300 nits, Acer ComfyView, 100% sRGB
Khác: Bàn phím Chiclet với phím Copilot, HD webcam, AMD
OS: Windows 11 Home SL",
HP,Laptop HP 14 ep1009TU - 9Z2W2PA (Core 5 120U/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-hp-14-ep1009tu-9z2w2pa--s250801470?selectPromotionId=1516534,17.590.000 ₫,19.690.000 ₫,-11%,2.100.000 ₫,Core 5 120U,Intel Graphics,16GB,1TB,"14"" Full HD","CPU: Intel® Core™ 5 120U (1.4 GHz - 5.0 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" Full HD (1920 x 1080) Màn hình chống lóa,
Khác: Bàn phím thường, HD webcam, High Definition Audio, Non-EVO
OS: Windows 11 Home SL",
HP,Laptop HP Envy X360 14-fc0155TU - AY8W3PA (Ultra 7-155U/ 16GB/ 1TB/ Windows 11 + Office),https://phongvu.vn/laptop-hp-envy-x360-14-fc0155tu-ay8w3pa--s250801471?selectPromotionId=1506047,32.990.000 ₫,35.190.000 ₫,-6%,2.200.000 ₫,U7-155U,Intel Graphics,16GB,1TB,"14"" 2.8K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 7-155U (1.7 GHz - 4.8 GHz/ 12MB/ 12 nhân, 14 luồng)
NPU: Intel® AI Boost NPU
RAM: 16GB Onboard 6400MHz LPDDR5 (Hỗ trợ tối đa 16GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 2.8K (2880 x 1800) OLED, 120Hz, Màn hình gương,
Khác: Bàn phím thường, HD webcam, HP Audio Boost, Intel EVO
OS: Windows 11 Home SL + Office Home & Student 2021",
HP,Laptop HP Victus 15 fa2731TX (B85LNPA) (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-victus-15-fa2731tx-b85lnpa--s250801472?selectPromotionId=1357386,21.690.000 ₫,24.090.000 ₫,-10%,2.400.000 ₫,i5-13420H,RTX 3050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i5-13420H (2.1 GHz - 4.6GHz/ 12MB/ 8 nhân, 12 luồng)
VGA: GeForce RTX™ 3050 6GB GDDR6, 143 AI TOPs
RAM: 1 x 16GB 3200MHz DDR4 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 45% NTSC
Khác: Bàn phím thường, HD webcam, High Definition Audio, Non-EVO
OS: Windows 11 Home SL",
HP,Laptop HP 14 ep1005TU - 9Z2W0PA (Core 7 150U/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-hp-14-ep1005tu-9z2w0pa--s250801463?selectPromotionId=1506046,21.990.000 ₫,23.090.000 ₫,-5%,1.100.000 ₫,Core 7 150U,Intel Graphics,16GB,1TB,"14"" Full HD","CPU: Intel® Core™ 7 150U (1.8 GHz - 5.4 GHz/ 12MB/ 10 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" Full HD (1920 x 1080) Màn hình chống lóa,
Khác: Bàn phím thường, HD webcam, High Definition Audio, Non-EVO
OS: Windows 11 Home SL",
HP,Laptop HP Elitebook 640 G11 - A7LB1PT (Ultra 5-125U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-elitebook-640-g11-a7lb1pt--s250801464?selectPromotionId=1506264,23.990.000 ₫,25.990.000 ₫,-8%,2.000.000 ₫,U5-125U,Intel Graphics,16GB,512GB,"14"" Full HD/ IPS","CPU: Intel® Core™ Ultra 5-125U (1.3 GHz - 4.3 GHz/ 12MB/ 12 nhân, 14 luồng)
NPU: Intel® AI Boost NPU
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" Full HD (1920 x 1080) IPS, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Audio by Poly Studio, Intel AI
OS: Windows 11 Home SL",
HP,Laptop HP Envy X360 14-fc0086TU - A19BWPA (Ultra 7-155U/ 32GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-envy-x360-14-fc0086tu-a19bwpa--s250801465?selectPromotionId=1506277,32.990.000 ₫,34.690.000 ₫,-5%,1.700.000 ₫,U7-155U,Intel Graphics,32GB,512GB,"14"" 2.8K/ OLED/ 120Hz",,
